,cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
181,Ugxz52L9r_8fe6hWaiV4AaABAg.A7E-W6lNjezA7EZb8m4FGq,​ @Rasyid9270Mama pertama di IKN,6 jam yang lalu,@muhammadridwan9220,UCabVFWkoSixrFzyF5Ew0_GQ,0,,https://yt3.ggpht.com/ytc/AIdro_kXgmeyPPxS6rDX6HL7n2siP3fl4SoJ_dWKY1X9A7U=s88-c-k-c0x00ffffff-no-rj,False,True,1723889695.982774
182,Ugxz52L9r_8fe6hWaiV4AaABAg.A7E-W6lNjezA7EmhdlsQwj,​ @yuliantoyulianto9808  Anak Abah upacara dmn?,4 jam yang lalu,@AR-uj6uz,UC2nt62aC_D2zGRMtrG34zpw,0,,https://yt3.ggpht.com/ytc/AIdro_nW4r_tbA1nFDtvBFu_gUoHeIu2IQY93gKtmUJBIeo=s88-c-k-c0x00ffffff-no-rj,False,True,1723896895.985773
183,Ugxz52L9r_8fe6hWaiV4AaABAg.A7E-W6lNjezA7EsATqadkr,"​ @Rasyid9270Mama lanjutin dlu skolah ya biar mkin pintar memahami kalimat, ttp optimis biar tk mudh pesimis",3 jam yang lalu,@realist789,UC-JEPW62Pafs_UdKue32hDw,0,,https://yt3.ggpht.com/ytc/AIdro_n3AexbIABbMKlogUR0dPQIElzbRy40MFOmAi6C0boN4j398k0=s88-c-k-c0x00ffffff-no-rj,False,True,1723900495.98887
184,Ugxz52L9r_8fe6hWaiV4AaABAg.A7E-W6lNjezA7Ev7KFVtsm, @muhammadridwan9220  oalaa,3 jam yang lalu,@Rasyid9270Mama,UC5-DElfZSPNQD-WcIOxRCog,0,,https://yt3.ggpht.com/j5m3tmz1uJ6mML454gXyfQ2Je2HjVsYIF5CpmTuWKVJLucTavRuTokYHA_Mh7L-VwXrdn47eGg=s88-c-k-c0x00ffffff-no-rj,False,True,1723900495.991917
185,UgzmxWdR7xOgeh1KOax4AaABAg.A7DwgezTywHA7EJmh3rhKP,Aamiin Aamiin Ya Rabb,8 jam yang lalu,@hatmawigati1060,UCX-7PBfq9Po0aCMhDccNXLA,1,,https://yt3.ggpht.com/ytc/AIdro_nsNnGCkMK7vQtv8nZSgeFiGI8E5lqxH23s23spWgk=s88-c-k-c0x00ffffff-no-rj,False,True,1723882496.220397
186,UgzmxWdR7xOgeh1KOax4AaABAg.A7DwgezTywHA7EUcAfLzD7,Alhmdulillah nympe trharuu😢😢😢😢😢😢 prjuangn pemimpin kita yg gigih dn kerja kerassss💪💪💪❤❤❤,7 jam yang lalu,@NurHayati-pz9lw,UCAlojaFXI6IW9C4MnuzzxBA,0,,https://yt3.ggpht.com/ytc/AIdro_mVYsh4_7tPnhk4WYSdJnsULsk1BHYmbthLeH2eoiV5JeggNIweaGnRuf_CWe9Mf5bHig=s88-c-k-c0x00ffffff-no-rj,False,True,1723886096.224412
187,Ugwu_AIjovdJni6Z1i14AaABAg.A7EBW3hEo-UA7EIbzDUuJG,Matakowian,8 jam yang lalu,@osanobinladen8140,UCvde7Ze1Nods8ioyivPcyMA,1,,https://yt3.ggpht.com/ytc/AIdro_miCz3TjfTxn7u_9hF0jxjP-xEriIBsV9Y9_sfziKY=s88-c-k-c0x00ffffff-no-rj,False,True,1723882496.434723
188,Ugwu_AIjovdJni6Z1i14AaABAg.A7EBW3hEo-UA7EM96WzqH_,"Preet, maju CPT menuju kehancuran, menghambur""kan uang negara, sedangkan rakyat menderita merasakan semua serba mahal",8 jam yang lalu,@rawinabdulbasir5209,UC7SDev5BCzzCFlC2EdgbjRA,2,,https://yt3.ggpht.com/smmJgNlOGgtPfO_e-I02qQ-qeqoiCv7qtQm9Ihb1lCNH7iHrCM5Cf8crpWpoMAZQldEDefiBCw=s88-c-k-c0x00ffffff-no-rj,False,True,1723882496.437721
189,Ugwu_AIjovdJni6Z1i14AaABAg.A7EBW3hEo-UA7EO0YPeGbo,"Jilat terus sampai ke akarnya,",8 jam yang lalu,@user-dz1kj9ns7l,UC4nLZJcIVhDqvTYQQiH8ygQ,1,,https://yt3.ggpht.com/ytc/AIdro_khI__jSWMpIF7Bjx96atY8DYlol3aQvV8w-iX5FFYEB7vRhG2u36tx40rADKGEQHqJEA=s88-c-k-c0x00ffffff-no-rj,False,True,1723882496.442032
190,Ugwu_AIjovdJni6Z1i14AaABAg.A7EBW3hEo-UA7EO9YvXhaY,​ @osanobinladen8140 lupun matakadrunan dan tak bisa melihat negri ini maju,8 jam yang lalu,@caknganbangan9960,UCaA1iLjdwpJLL9r2zgdup6A,1,,https://yt3.ggpht.com/ytc/AIdro_ko1bohorF43L7N2__iJfOUyGv9D49vh-by5RaRd0cxtbmO0Gkh_JsO8dPHhC3VE0oMug=s88-c-k-c0x00ffffff-no-rj,False,True,1723882496.445033
